,commenter,comments,publishedAt,totalReplyCount
2706,Tainá Leonel Soares,TAYLOR TE AMO MULHER,2023-10-19T00:32:36Z,0
2707,Jennifer Mobley,yass taylor,2023-10-19T00:32:35Z,0
2708,neelu,ATEEE,2023-10-19T00:32:36Z,0
2709,_Your_local_Paper_dragon_lover_<3,AMAZING,2023-10-19T00:33:13Z,0
2710,Lucia Spagnuolo,WHAT IS THIS BLONDIE,2023-10-19T00:32:36Z,0
2711,sarahi 💕,CRUEL SUMMER BETTER TAKE THAT #1 🙏🙏,2023-10-19T00:32:35Z,0
2712,⭑ urfavval!! ᑉ³,Earlyy,2023-10-19T00:32:35Z,0
2713,Firaa,Yoww taylorrrr❤❤❤,2023-10-19T00:32:35Z,0
2714,Legit_g0d,YES I LOVEEE,2023-10-19T00:32:35Z,0
2715,anahiii,OMGGG,2023-10-19T00:32:35Z,0
2716,Cristhian González,QUEEEEEEE,2023-10-19T00:32:35Z,0
2717,brynlee,I 🩷 TAYLOR!!!,2023-10-19T00:32:34Z,0
2718,Cata Longo,ARGENTINA TE AMA RUBIA❤,2023-10-19T00:32:35Z,0
2719,Chloe,WHAT I LOVE IT,2023-10-19T00:32:34Z,0
2720,Mary Grace Ortiz,May lakad? Nagmamadali? 😅,2023-10-19T00:32:34Z,0
2721,Jesús Chávez,Ya danos el MV 🤧,2023-10-19T00:32:34Z,0
2722,Elías Núñez,MOTHER WANTS THAT #1,2023-10-19T00:32:34Z,0
2723,alealeale,WOW,2023-10-19T00:32:34Z,0
2724,Ujjala Singhal,LOVE YOU TAYLOR 🫶🫶🫶,2023-10-19T00:32:34Z,0
2725,Kellan Pham,Omg?,2023-10-19T00:32:34Z,0
2726,Rdonadieu,i love her so much she is so talented ❤❤❤,2023-10-19T00:32:34Z,0
2727,Sherlyn Garcia,❤❤,2023-10-19T00:32:34Z,0
2728,angelichotdog,OMG I LOVE IT,2023-10-19T00:32:34Z,0
2729,I’m tired…💤 (Taylor’s version),AHhHhHhhHhHh,2023-10-19T00:32:33Z,0
2730,キング,GET THAT #1 ON BB100 MAMA,2023-10-19T00:32:34Z,0
2731,Kaye Peremne,OMGGG,2023-10-19T00:32:33Z,0
2732,Nala,Whattt! 😭💘💘💘,2023-10-19T00:32:33Z,0
2733,Larissa Luca,Adorei gatinha,2023-10-19T00:32:33Z,0
2734,Payton!🏐,AMAZING TAYLOR YOUR AMAZING,2023-10-19T00:32:32Z,0
2735,🍋LilaLuvs•Lulu🍋,I LOVE THIS SOOO MUCH,2023-10-19T00:32:32Z,0
2736,Eernest,I love Taylor Swift,2023-10-19T00:32:32Z,0
2737,SincerelyGabs,"Taylor is such an inspiration, seriously. 🫶🏼",2023-10-19T00:32:32Z,0
2738,Desi,IM OBSESSED❤,2023-10-19T00:33:01Z,0
2739,P A I G E 🌺,AHHHH TAYLOR!!!!,2023-10-19T00:32:32Z,0
2740,Maybelyn Mijares,❤❤,2023-10-19T00:32:32Z,0
2741,Fer Swift,QUEEEEEE,2023-10-19T00:32:31Z,0
2742,Scarlettslays🍄,Slayyyy taylor,2023-10-19T00:32:31Z,0
2743,Katrina,AHHH,2023-10-19T00:32:31Z,0
2744,Perla Hernández,I love you Taylor ❤️❤️,2023-10-19T00:32:31Z,0
2745,Aira khan,Love it I’m a swifty ❤❤❤❤❤❤❤,2023-10-19T00:32:31Z,0
